tipologia,autore_saggio,precisazione_autore,titolo_saggio,autore_curatore_volume,precisazione_curatore,titolo_volume,luogo,editore,anno,volumi,rivista,annata,fascicolo,pagine
articolo in volume miscellaneo,"Agostoni, Emilio",,Margaria Rodolfo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,103-106
articolo in volume miscellaneo,"Antonelli, Armando",,Marescotti (Marescotto) De' Calvi Marcantonio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,93-94
articolo in volume miscellaneo,"Farnetani, Francesca",,Margarucci Oreste,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,117-118
articolo in volume miscellaneo,"Aliverti, Massimo",,"Margary, Fedele",,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,118-120
poligrafia,,,,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,688
articolo in volume miscellaneo,"Della Peruta, Franco",,Dall'Istituto nazionale all'Istituto reale: un profilo istituzionale,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,19-32
articolo in volume miscellaneo,"Pepe, Luigi",,Istituti e accademie nell'Europa napoleonica. Archivi personali e opere a stampa,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,33-44
articolo in volume miscellaneo,"Scotti, Aurora",,Le accademie di belle arti negli anni napoleonici,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,45-61
articolo in volume miscellaneo,"Brianta, Donata",,"I luoghi del sapere agronomico: accademie, società di agricoltura e di arti meccaniche, orti agrari, atenei (1802-1814)","Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,62-156
articolo in volume miscellaneo,"Mannori, Luca",,I ruoli dell'intellettuale nell'Italia napoleonica,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,159-183
articolo in volume miscellaneo,"Chiancone, Claudio",,Il circolo Paradisi e il 'Poligrafo',"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,232-250
articolo in volume miscellaneo,"Cosmacini, Giorgio",,Teoria e pratica della medicina,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,316-321
articolo in volume miscellaneo,"Quaini, Massimo",,La geografia nel Regno d'Italia: una scienza onnivora fra filosofia e applicazioni militari al territorio,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,322-338
articolo in volume miscellaneo,"Ferraresi, Alessandra",,La direzione generale di pubblica istruzione nel Regno d'Italia,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,341-391
articolo in volume miscellaneo,"Tongiorgi, Duccio",,Le arti e le scienze «dopo la Rivoluzione». Note sulle orazioni inaugurali nell'Università di Pavia (1800-1809),"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,392-409
articolo in volume miscellaneo,"Varni, Angelo",,L'Università di Bologna in età napoleonica,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,410-417
articolo in volume miscellaneo,"Del Negro, Piero",,L'Università di Padova tra l'utopia giacobina e l'omologazione napoleonica,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,418-428
articolo in volume miscellaneo,"Brambilla, Elena",,I licei e l'Université impériale: un confronto tra Italia e Francia,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,431-453
articolo in volume miscellaneo,"Ceccarelli, Francesco",,Architettura universitaria e città degli studi a Bologna negli anni del Regno d'Italia,"Brambilla, Elena-Capra, Carlo-Scotti, Aurora",a cura di,Istituzioni e cultura in età napoleonica,Milano,Franco Angeli,2008,,,,,552-566
